"No.","Time","Source","Destination","Protocol","Length","Info"
"296423","22.277801307","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296505","22.289706853","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296506","22.290307895","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296509","22.290453496","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296510","22.290844231","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296568","22.297244603","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296569","22.297692309","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296572","22.297825991","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296573","22.298202017","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296583","22.298638103","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296584","22.299010636","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296587","22.299141382","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296588","22.299548944","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296595","22.299748328","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296597","22.300584206","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296600","22.300756488","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296602","22.301200396","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296652","22.309293789","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"296667","22.309496771","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"296668","22.309504492","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"296672","22.310518692","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296676","22.311033540","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296677","22.311120790","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296899","22.260612430","127.0.0.1","127.0.0.1","OpenFlow","206","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"296901","22.260939406","127.0.0.1","127.0.0.1","OpenFlow","106","[TCP Spurious Retransmission] Type: OFPT_PACKET_OUT"
"296916","22.263945816","127.0.0.1","127.0.0.1","OpenFlow","106","[TCP Spurious Retransmission] Type: OFPT_PACKET_OUT"
"297122","22.315536766","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"297128","22.320075845","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"297129","22.320324718","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"297130","22.321086581","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"297151","22.329543763","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"297152","22.330016479","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"297153","22.330147638","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"297154","22.330519672","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"297173","22.334466182","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"297181","22.336337572","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"297182","22.336365686","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"297183","22.336626677","127.0.0.1","127.0.0.1","OpenFlow","206","Type: OFPT_PACKET_IN"
"297185","22.337125548","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"297305","22.315536766","127.0.0.1","127.0.0.1","OpenFlow","208","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"297422","22.337347959","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"297423","22.338149140","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"297427","22.338500168","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"297450","22.342064902","127.0.0.1","127.0.0.1","OpenFlow","217","Type: OFPT_PACKET_IN"
