Time,6633-restime,6634-restime,6633-throughput,6634-throughput
44.8,0.001212121,0.002105263,825,475
44.9,0.001785714,0.002739726,560,365
45,0.001398601,0.002061856,715,485
45.1,0.001315789,0.002105263,760,475
45.2,0.001459854,0.002105263,685,475
45.3,0.00141844,0.002380952,705,420
45.4,0.005128205,0.007142857,195,140
45.5,0.001104972,0.001769912,905,565
45.6,0.001298701,0.00212766,770,470
45.7,0.001098901,0.002247191,910,445
45.8,0.001550388,0.002857143,645,350
45.9,0.001398601,0.002272727,715,440
46,0.001369863,0.002631579,730,380
46.1,0.001149425,0.001923077,870,520
46.2,0.00130719,0.002040816,765,490
46.3,0.001492537,0.002564103,670,390
46.4,0.001550388,0.002898551,645,345
46.5,0.001459854,0.002409639,685,415
46.6,0.001058201,0.001851852,945,540
46.7,0.001020408,0.002061856,980,485
46.8,0.000892857,0.001941748,1120,515
46.9,0.00130719,0.002597403,765,385
47,0.001092896,0.002173913,915,460
47.1,0.001123596,0.002173913,890,460
47.2,0.001234568,0.002222222,810,450
47.3,0.001190476,0.001851852,840,540
47.4,0.001136364,0.002105263,880,475
47.5,0.001069519,0.00212766,935,470
47.6,0.001162791,0.002150538,860,465
47.7,0.00125,0.002083333,800,480
47.8,0.001298701,0.002298851,770,435
47.9,0.001197605,0.002222222,835,450
48,0.001470588,0.002325581,680,430
48.1,0.001092896,0.001694915,915,590
48.2,0.001369863,0.002173913,730,460
48.3,0.001315789,0.002083333,760,480
48.4,0.0015625,0.002222222,640,450
48.5,0.001769912,0.002702703,565,370
48.6,0.0015625,0.002702703,640,370
48.7,0.001449275,0.002409639,690,415
48.8,0.001550388,0.002439024,645,410
48.9,0.001459854,0.002272727,685,440
49,0.001290323,0.002,775,500
49.1,0.001481481,0.002469136,675,405
49.2,0.001626016,0.002531646,615,395
49.3,0.00141844,0.002105263,705,475
49.4,0.001282051,0.002150538,780,465
49.5,0.001694915,0.002469136,590,405
49.6,0.001459854,0.002222222,685,450
49.7,0.001470588,0.002439024,680,410
49.8,0.00137931,0.002325581,725,430
49.9,0.001639344,0.002597403,610,385
50,0.0016,0.002941176,625,340
50.1,0.001449275,0.002409639,690,415
50.2,0.001315789,0.002105263,760,475
50.3,0.001538462,0.002409639,650,415
50.4,0.001408451,0.002272727,710,440
50.5,0.001801802,0.002898551,555,345
50.6,0.001369863,0.002272727,730,440
50.7,0.001204819,0.002083333,830,480
50.8,0.001075269,0.001851852,930,540
50.9,0.001219512,0.002040816,820,490
51,0.001104972,0.001904762,905,525
51.1,0.001142857,0.001694915,875,590
51.2,0.001117318,0.001709402,895,585
51.3,0.001025641,0.001481481,975,675
51.4,0.001098901,0.001639344,910,610
51.5,0.001025641,0.001666667,975,600
51.6,0.001197605,0.001754386,835,570
51.7,0.001092896,0.001680672,915,595
51.8,0.00104712,0.001574803,955,635
51.9,0.001123596,0.001666667,890,600
52,0.000990099,0.001492537,1010,670
52.1,0.001212121,0.001851852,825,540
52.2,0.00106383,0.001587302,940,630
52.3,0.001075269,0.001612903,930,620
52.4,0.001104972,0.001626016,905,615
52.5,0.001069519,0.001652893,935,605
52.6,0.001123596,0.001666667,890,600
52.7,0.00106383,0.001612903,940,620
52.8,0.001015228,0.001515152,985,660
52.9,0.001025641,0.001652893,975,605
53,0.001257862,0.001869159,795,535
53.1,0.001136364,0.001724138,880,580
53.2,0.001069519,0.001587302,935,630
53.3,0.00106383,0.001639344,940,610
53.4,0.001015228,0.001515152,985,660
53.5,0.001136364,0.001785714,880,560
53.6,0.00106383,0.0016,940,625
53.7,0.000980392,0.001587302,1020,630
53.8,0.000909091,0.001503759,1100,665
53.9,0.000961538,0.001538462,1040,650
54,0.001081081,0.001680672,925,595
54.1,0.001086957,0.001694915,920,590
54.2,0.001117318,0.001709402,895,585
54.3,0.001015228,0.001515152,985,660
54.4,0.000995025,0.001538462,1005,650
54.5,0.001117318,0.001694915,895,590
54.6,0.001098901,0.001754386,910,570
54.7,0.001005025,0.001612903,995,620
54.8,0.001058201,0.001587302,945,630
54.9,0.001041667,0.001587302,960,630
55,0.001129944,0.001785714,885,560
55.1,0.001098901,0.001612903,910,620
55.2,0.001069519,0.001612903,935,620
55.3,0.001041667,0.001515152,960,660
55.4,0.001075269,0.001666667,930,600
55.5,0.001162791,0.001785714,860,560
55.6,0.001183432,0.00173913,845,575
55.7,0.001117318,0.001709402,895,585
55.8,0.001069519,0.001612903,935,620
55.9,0.001075269,0.001587302,930,630
56,0.001204819,0.001801802,830,555
56.1,0.001226994,0.001834862,815,545
56.2,0.001075269,0.001612903,930,620
56.3,0.001041667,0.0015625,960,640
56.4,0.001020408,0.001574803,980,635
56.5,0.001075269,0.001612903,930,620
56.6,0.001041667,0.001526718,960,655
56.7,0.001149425,0.001754386,870,570
56.8,0.001081081,0.001612903,925,620
56.9,0.001036269,0.001574803,965,635
57,0.001058201,0.001550388,945,645
57.1,0.001010101,0.001515152,990,660
57.2,0.001,0.001526718,1000,655
57.3,0.001025641,0.001574803,975,635
57.4,0.001030928,0.0015625,970,640
57.5,0.001058201,0.001587302,945,630
57.6,0.001086957,0.001724138,920,580
57.7,0.00104712,0.001526718,955,655
57.8,0.001117318,0.001680672,895,595
57.9,0.001041667,0.001587302,960,630
58,0.001104972,0.001639344,905,610
58.1,0.001123596,0.001694915,890,590
58.2,0.001176471,0.001754386,850,570
58.3,0.001069519,0.001652893,935,605
58.4,0.001136364,0.001680672,880,595
58.5,0.001136364,0.001801802,880,555
58.6,0.001058201,0.001550388,945,645
58.7,0.000970874,0.001492537,1030,670
58.8,0.001092896,0.001612903,915,620
58.9,0.001075269,0.001587302,930,630
59,0.001098901,0.001694915,910,590
59.1,0.001212121,0.001785714,825,560
59.2,0.001156069,0.001754386,865,570
59.3,0.001092896,0.001652893,915,605
59.4,0.001005025,0.001503759,995,665
59.5,0.001086957,0.001639344,920,610
59.6,0.001123596,0.001694915,890,590
59.7,0.001104972,0.001724138,905,580
59.8,0.001142857,0.001666667,875,600
59.9,0.00106383,0.0016,940,625
60,0.001010101,0.001612903,990,620
60.1,0.001117318,0.001652893,895,605
60.2,0.001156069,0.001785714,865,560
60.3,0.001111111,0.001652893,900,605
60.4,0.001036269,0.001574803,965,635
60.5,0.001123596,0.001694915,890,590
60.6,0.001041667,0.001538462,960,650
60.7,0.001036269,0.001587302,965,630
60.8,0.001020408,0.0015625,980,640
60.9,0.001005025,0.0016,995,625
61,0.001069519,0.0016,935,625
61.1,0.001058201,0.001550388,945,645
61.2,0.001104972,0.001680672,905,595
61.3,0.001036269,0.0016,965,625
61.4,0.001086957,0.001666667,920,600
61.5,0.001069519,0.001550388,935,645
61.6,0.001136364,0.001724138,880,580
61.7,0.001081081,0.001639344,925,610
61.8,0.001020408,0.001612903,980,620
61.9,0.001010101,0.001587302,990,630
62,0.001149425,0.001694915,870,590
62.1,0.001058201,0.001680672,945,595
62.2,0.001142857,0.001724138,875,580
62.3,0.001136364,0.001666667,880,600
62.4,0.001086957,0.001652893,920,605
62.5,0.001081081,0.001639344,925,610
62.6,0.001183432,0.001818182,845,550
62.7,0.001204819,0.001754386,830,570
62.8,0.001142857,0.001709402,875,585
62.9,0.001086957,0.001680672,920,595
63,0.001104972,0.001639344,905,610
63.1,0.001104972,0.001666667,905,600
63.2,0.001265823,0.001904762,790,525
63.3,0.001098901,0.001626016,910,615
63.4,0.00104712,0.001587302,955,630
63.5,0.001092896,0.001694915,915,590
63.6,0.001162791,0.001724138,860,580
63.7,0.001117318,0.001694915,895,590
63.8,0.001075269,0.0016,930,625
63.9,0.001030928,0.001550388,970,645
64,0.001069519,0.001639344,935,610
64.1,0.001,0.001526718,1000,655
64.2,0.001111111,0.001680672,900,595
64.3,0.00106383,0.001587302,940,630
64.4,0.001092896,0.001626016,915,615
64.5,0.00104712,0.001574803,955,635
64.6,0.001129944,0.001652893,885,605
64.7,0.001111111,0.001694915,900,590
64.8,0.00104712,0.001587302,955,630
64.9,0.001136364,0.001652893,880,605
65,0.00104712,0.001652893,955,605
65.1,0.001117318,0.001709402,895,585
65.2,0.001111111,0.001639344,900,610
65.3,0.001098901,0.001639344,910,610
65.4,0.001058201,0.001626016,945,615
65.5,0.001086957,0.001626016,920,615
65.6,0.001123596,0.001652893,890,605
65.7,0.001058201,0.0016,945,625
65.8,0.001058201,0.001612903,945,620
65.9,0.001123596,0.001709402,890,585
66,0.001117318,0.001652893,895,605
66.1,0.001212121,0.001818182,825,550
66.2,0.001176471,0.001785714,850,560
66.3,0.00106383,0.001574803,940,635
66.4,0.001030928,0.001574803,970,635
66.5,0.001025641,0.001515152,975,660
66.6,0.001117318,0.001694915,895,590
66.7,0.001162791,0.001724138,860,580
66.8,0.001169591,0.001754386,855,570
66.9,0.001086957,0.001612903,920,620
67,0.001123596,0.001694915,890,590
67.1,0.001111111,0.001709402,900,585
67.2,0.001197605,0.001785714,835,560
67.3,0.001098901,0.001652893,910,605
67.4,0.001041667,0.001538462,960,650
67.5,0.00104712,0.001639344,955,610
67.6,0.001098901,0.001639344,910,610
67.7,0.001020408,0.0015625,980,640
67.8,0.001098901,0.001666667,910,600
67.9,0.001052632,0.001587302,950,630
68,0.001075269,0.0015625,930,640
68.1,0.001005025,0.001526718,995,655
68.2,0.001149425,0.001754386,870,570
68.3,0.001041667,0.001526718,960,655
68.4,0.001025641,0.001574803,975,635
68.5,0.001075269,0.001587302,930,630
68.6,0.001069519,0.001652893,935,605
68.7,0.001136364,0.001652893,880,605
68.8,0.00106383,0.001612903,940,620
68.9,0.001098901,0.001680672,910,595
69,0.001117318,0.001626016,895,615
69.1,0.001086957,0.001680672,920,595
69.2,0.001142857,0.001666667,875,600
69.3,0.001036269,0.001587302,965,630
69.4,0.001081081,0.001612903,925,620
69.5,0.00104712,0.001550388,955,645
69.6,0.001081081,0.001652893,925,605
69.7,0.001123596,0.001639344,890,610
69.8,0.001015228,0.0015625,985,640
69.9,0.001069519,0.0015625,935,640
70,0.001075269,0.0016,930,625
70.1,0.00104712,0.001587302,955,630
70.2,0.001104972,0.001652893,905,605
70.3,0.001025641,0.001550388,975,645
70.4,0.001098901,0.001639344,910,610
70.5,0.001136364,0.001694915,880,590
70.6,0.001075269,0.001639344,930,610
70.7,0.001156069,0.001709402,865,585
70.8,0.001098901,0.001694915,910,590
70.9,0.001111111,0.001639344,900,610
